rank,city,state,population,population_year,source,source_url,scraped_at
147,Ozhukarai,Puducherry,300104,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
148,Bihar Sharif,Bihar,297268,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
149,Darbhanga,Bihar,296039,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
150,Panipat,Haryana,294292,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
151,Aizawl,Mizoram,293416,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
152,Bally,West Bengal,293373,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
153,Dewas,Madhya Pradesh,289550,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
154,Tirupati,Andhra Pradesh,287482,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
155,Ichalkaranji,Maharashtra,287353,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
156,Karnal,Haryana,286827,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
157,Bathinda,Punjab,285788,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
158,Jalna,Maharashtra,285577,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
